SMPDB_ID	HMDB_ID
PW_C040707	HMDB0061376
PW_C001106	HMDB0001431
PW_C000161	HMDB0000239
PW_C000011	HMDB0000017
PW_C003016	HMDB0006954
PW_C003017	HMDB0006955
PW_C001850	HMDB0003344
PW_C001017	HMDB0001319
PW_C001197	HMDB0001555
PW_C000122	HMDB0000190
PW_C002750	HMDB0006458
PW_C001765	HMDB0003052
PW_C001051	HMDB0001362
PW_C001252	HMDB0001881
PW_C002986	HMDB0006878
PW_C000911	HMDB0001175
PW_C001151	HMDB0001494
PW_C002987	HMDB0006880
PW_C001906	HMDB0003498
PW_C000097	HMDB0000150
PW_C001015	HMDB0001316
PW_C000479	HMDB0000618
PW_C000191	HMDB0000283
PW_C000691	HMDB0000868
PW_C000843	HMDB0001068
PW_C001019	HMDB0001321
PW_C000813	HMDB0001031
PW_C000570	HMDB0000719
PW_C000185	HMDB0000271
PW_C000770	HMDB0000963
PW_C001195	HMDB0001553
PW_C001342	HMDB0002005
PW_C009048	HMDB0014694
PW_C009185	HMDB0014848
PW_C002356	HMDB0005007
PW_C001251	HMDB0001879
PW_C009220	HMDB0014887
PW_C009442	HMDB0015144
PW_C001284	HMDB0001925
PW_C040561	HMDB0060565
PW_C040564	HMDB0060921
PW_C040563	HMDB0060920
PW_C040562	HMDB0060919
PW_C040560	HMDB0060564
PW_C040454	HMDB0061179
PW_C002369	HMDB0005022
PW_C009520	HMDB0015230
PW_C009075	HMDB0014724
PW_C009093	HMDB0014743
PW_C001275	HMDB0001915
PW_C002362	HMDB0005014
PW_C008684	HMDB0013995
PW_C040652	HMDB0060571
PW_C040653	HMDB0061132
PW_C008970	HMDB0014608
PW_C002951	HMDB0006822
PW_C002950	HMDB0006821
PW_C002952	HMDB0006823
PW_C000779	HMDB0000980
PW_C000930	HMDB0001195
PW_C007822	HMDB0012282
PW_C008528	HMDB0013642
PW_C001388	HMDB0002065
PW_C000160	HMDB0000238
PW_C001537	HMDB0002275
PW_C000673	HMDB0000845
PW_C002907	HMDB0006754
PW_C002906	HMDB0006753
PW_C000026	HMDB0000037
PW_C000223	HMDB0000319
PW_C001190	HMDB0001547
PW_C002910	HMDB0006757
PW_C000183	HMDB0000268
PW_C002028	HMDB0004029
PW_C002909	HMDB0006756
PW_C002908	HMDB0006755
PW_C002030	HMDB0004031
PW_C002029	HMDB0004030
PW_C000045	HMDB0000063
PW_C001708	HMDB0002802
PW_C000010	HMDB0000016
PW_C002027	HMDB0004026
PW_C001216	HMDB0001830
PW_C000173	HMDB0000253
PW_C000009	HMDB0000015
PW_C002914	HMDB0006762
PW_C002915	HMDB0006763
PW_C001016	HMDB0001318
PW_C002916	HMDB0006764
PW_C002031	HMDB0004035
PW_C002704	HMDB0006283
PW_C002911	HMDB0006758
PW_C000722	HMDB0000903
PW_C001823	HMDB0003259
PW_C000757	HMDB0000949
PW_C002913	HMDB0006760
PW_C001964	HMDB0003759
PW_C002912	HMDB0006759
PW_C000210	HMDB0000306
PW_C002411	HMDB0005175
PW_C000013	HMDB0000020
PW_C000952	HMDB0001229
PW_C002044	HMDB0004067
PW_C001105	HMDB0001430
PW_C002040	HMDB0004058
PW_C002926	HMDB0006779
PW_C002045	HMDB0004068
PW_C000968	HMDB0001253
PW_C000654	HMDB0000819
PW_C002683	HMDB0006242
PW_C000108	HMDB0000164
PW_C002043	HMDB0004063
PW_C002041	HMDB0004061
PW_C001240	HMDB0001866
PW_C000197	HMDB0000291
PW_C000222	HMDB0000318
PW_C000015	HMDB0000022
PW_C001969	HMDB0003791
PW_C001029	HMDB0001336
PW_C000074	HMDB0000118
PW_C003007	HMDB0006915
PW_C001081	HMDB0001398
PW_C000764	HMDB0000957
PW_C001147	HMDB0001490
PW_C001155	HMDB0001498
PW_C002147	HMDB0004527
PW_C001912	HMDB0003529
PW_C000892	HMDB0001143
PW_C000923	HMDB0001187
PW_C002679	HMDB0006235
PW_C002944	HMDB0006814
PW_C000137	HMDB0000211
PW_C000772	HMDB0000968
PW_C001012	HMDB0001313
PW_C000139	HMDB0000213
PW_C002108	HMDB0004249
PW_C001981	HMDB0003850
PW_C003015	HMDB0006953
PW_C001980	HMDB0003848
PW_C001908	HMDB0003502
PW_C000834	HMDB0001059
PW_C000082	HMDB0000127
PW_C040682	HMDB0061362
PW_C040683	HMDB0061361
PW_C040527	HMDB0061341
PW_C000644	HMDB0000807
PW_C000090	HMDB0000139
PW_C000085	HMDB0000131
PW_C002417	HMDB0005356
PW_C007130	HMDB0011533
PW_C002994	HMDB0006892
PW_C002995	HMDB0006893
PW_C001336	HMDB0001993
PW_C007982	HMDB0012455
PW_C002996	HMDB0006894
PW_C000259	HMDB0000359
PW_C001452	HMDB0002159
PW_C001918	HMDB0003540
PW_C002997	HMDB0006895
PW_C007983	HMDB0012456
PW_C002709	HMDB0006292
PW_C000759	HMDB0000951
PW_C000496	HMDB0000637
PW_C000089	HMDB0000138
PW_C000480	HMDB0000619
PW_C000397	HMDB0000518
PW_C001153	HMDB0001496
PW_C001482	HMDB0002197
PW_C002900	HMDB0006737
PW_C002989	HMDB0006887
PW_C001125	HMDB0001457
PW_C000953	HMDB0001231
PW_C002990	HMDB0006888
PW_C001913	HMDB0003533
PW_C001985	HMDB0000601
PW_C002993	HMDB0006891
PW_C002991	HMDB0006889
PW_C002992	HMDB0006890
PW_C001062	HMDB0001374
PW_C000025	HMDB0000036
PW_C001095	HMDB0001419
PW_C007230	HMDB0011644
PW_C002687	HMDB0006247
PW_C002702	HMDB0006280
PW_C001414	HMDB0002103
PW_C002703	HMDB0006281
PW_C007980	HMDB0012453
PW_C007981	HMDB0012454
PW_C007985	HMDB0012458
PW_C000573	HMDB0000722
PW_C000550	HMDB0000698
PW_C000608	HMDB0000761
PW_C000715	HMDB0000896
PW_C000491	HMDB0000631
PW_C000487	HMDB0000626
PW_C007986	HMDB0012459
PW_C000395	HMDB0000516
PW_C000998	HMDB0001294
PW_C001870	HMDB0003391
PW_C000374	HMDB0000492
PW_C000458	HMDB0000588
PW_C001139	HMDB0001480
PW_C000184	HMDB0000269
PW_C001070	HMDB0001383
PW_C000149	HMDB0000224
